# dmiop_2_reset.sr: DMI transactions decoded from the wire (t in ms from capture start)
   61.9755 W dmcontrol    40000001 st=00
   62.0395 RAW15 100100010010000
   70.8754 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   71.1038 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   71.3323 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   71.5608 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   71.7892 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   72.0177 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   72.2462 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   72.4747 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   72.7031 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   72.9315 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   73.1600 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   73.3885 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   73.6170 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   73.8455 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   74.0739 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   74.3024 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   74.5308 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   74.7594 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   74.9879 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   75.2163 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   75.4448 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   75.6732 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   75.9016 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   76.1301 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   76.3585 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   76.5869 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   76.8154 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   77.0438 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   77.2722 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   77.5006 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   77.7291 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   77.9575 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   78.1861 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   78.4145 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   78.6431 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   78.8717 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   79.1003 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   79.3289 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   79.5573 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   79.7858 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   80.0142 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   80.2427 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   80.4711 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   80.6996 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   80.9281 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   81.1565 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   81.3850 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   81.6134 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   81.8418 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   82.0703 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   82.2987 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   82.5272 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   82.7557 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   82.9842 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   83.2127 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   83.4411 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   83.6696 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   83.8982 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   84.1268 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
   84.3554 RAW85 0010001000000000000000000000000000000000111111101111111111111111111111111111111111110
