# redo_recover_power_off.sr: DMI transactions decoded from the wire (t in ms from capture start)
   90.5041 W data1        40022024 st=01
   90.6286 W data0        45670123 st=00
   90.7532 W command      02210000 st=00
   90.8780 W data1        40022024 st=01
   91.0027 W data0        cdef89ab st=00
   91.1271 W command      02210000 st=01
   91.2520 W data1        40022010 st=00
   91.3698 RAW110 10010111111000000000010001000000000000000000000010011011000010001101000000000000000000000000000000000001001101
   91.6236 W data1        40022010 st=00
   91.7482 W data0        00000004 st=01
   91.8729 W command      02210000 st=00
   91.9978 W data1        40022010 st=01
   92.1224 W command      02200000 st=01
   92.2402 R data0        00000004 st=01
   92.3693 W data1        40022010 st=01
   92.4938 W data0        00000044 st=00
   92.6183 W command      02210000 st=01
   92.7433 W data1        4002200c st=00
   92.8679 W command      02200000 st=00
   92.9857 R data0        00000021 st=01
   93.1149 W data1        4002200c st=00
   93.2393 W command      02200000 st=01
   93.3570 R data0        00000021 st=01
   93.4862 W data1        4002200c st=00
   93.6106 W command      02200000 st=00
   93.7284 R data0        00000021 st=01
   93.8576 W data1        4002200c st=00
   93.9819 W command      02200000 st=00
   94.0997 R data0        00000021 st=01
   94.2289 W data1        4002200c st=00
   94.3532 W command      02200000 st=00
   94.4710 R data0        00000021 st=01
   94.6003 W data1        4002200c st=01
   94.7247 W command      02200000 st=01
   94.8424 R data0        00000021 st=01
   94.9716 W data1        4002200c st=01
   95.0960 W command      02200000 st=00
   95.2138 R data0        00000021 st=01
   95.3430 W data1        4002200c st=01
   95.4673 W command      02200000 st=01
   95.5851 R data0        00000021 st=01
   95.7143 W data1        4002200c st=00
   95.8387 W command      02200000 st=00
   95.9566 RAW56 10000100011010100000000000000000000000000100001010011011
   96.0858 W data1        4002200c st=00
   96.2102 W command      02200000 st=00
   96.3279 R data0        00000021 st=00
   96.4571 W data1        4002200c st=00
   96.5816 W command      02200000 st=00
   96.6994 RAW56 10000100011010000000000000000000000000000100001010011011
   96.8287 W data1        4002200c st=01
   96.9531 W command      02200000 st=00
   97.0708 R data0        00000021 st=01
   97.2000 W data1        4002200c st=00
   97.3244 W command      02200000 st=01
   97.4422 R data0        00000021 st=01
   97.5714 W data1        4002200c st=01
   97.6958 W command      02200000 st=00
   97.8136 R data0        00000021 st=01
   97.9428 W data1        4002200c st=01
   98.0672 W command      02200000 st=00
   98.1850 R data0        00000021 st=01
   98.3142 W data1        4002200c st=00
   98.4385 W command      02200000 st=00
   98.5563 R data0        00000021 st=00
   98.6855 W data1        4002200c st=00
   98.8099 W command      02200000 st=01
   98.9276 R data0        00000021 st=01
   99.0568 W data1        4002200c st=00
   99.1812 W command      02200000 st=01
   99.2989 R data0        00000021 st=00
   99.4281 W data1        4002200c st=01
   99.5525 W command      02200000 st=00
   99.6702 R data0        00000021 st=01
   99.7994 W data1        4002200c st=01
   99.9238 W command      02200000 st=00
  100.0415 R data0        00000021 st=01
  100.1707 W data1        4002200c st=01
  100.2951 W command      02200000 st=00
  100.4129 R data0        00000021 st=00
  100.5421 W data1        4002200c st=01
  100.6664 W command      02200000 st=01
  100.7842 R data0        00000021 st=01
  100.9134 W data1        4002200c st=01
  101.0378 W command      02200000 st=01
  101.1555 R data0        00000021 st=01
  101.2848 W data1        4002200c st=00
  101.4092 W command      02200000 st=00
  101.5269 R data0        00000021 st=01
  101.6561 W data1        4002200c st=01
  101.7806 W command      02200000 st=01
  101.8983 R data0        00000021 st=01
  102.0275 W data1        4002200c st=01
  102.1519 W command      02200000 st=01
  102.2697 R data0        00000021 st=01
  102.3989 W data1        4002200c st=01
  102.5233 W command      02200000 st=01
  102.6412 R data0        00000021 st=01
  102.7704 W data1        4002200c st=01
  102.8949 W command      02200000 st=01
  103.0127 R data0        00000021 st=01
  103.1420 W data1        4002200c st=00
  103.2665 W command      02200000 st=00
  103.3843 R data0        00000021 st=01
  103.5135 W data1        4002200c st=01
  103.6379 W command      02200000 st=00
  103.7556 R data0        00000021 st=01
  103.8848 W data1        4002200c st=00
  104.0092 W command      02200000 st=00
  104.1270 R data0        00000021 st=01
  104.2562 W data1        4002200c st=00
  104.3806 W command      02200000 st=01
  104.4984 R data0        00000021 st=01
  104.6276 W data1        4002200c st=00
  104.7520 W command      02200000 st=01
  104.8740 R data0        00000021 st=01
  104.9990 W data1        4002200c st=01
  105.1234 W command      02200000 st=01
  105.2453 R data0        00000021 st=00
  105.3703 W data1        4002200c st=00
  105.4947 W command      02200000 st=01
  105.6124 R data0        00000021 st=00
  105.7416 W data1        4002200c st=00
  105.8661 W command      02200000 st=01
  105.9838 R data0        00000021 st=01
  106.1130 W data1        4002200c st=01
  106.2374 W command      02200000 st=00
  106.3552 R data0        00000021 st=01
  106.4844 W data1        4002200c st=00
  106.6088 W command      02200000 st=01
  106.7266 R data0        00000021 st=01
  106.8558 W data1        4002200c st=01
  106.9802 W command      02200000 st=01
  107.0979 R data0        00000021 st=01
  107.2271 W data1        4002200c st=00
  107.3515 W command      02200000 st=00
  107.4693 R data0        00000021 st=01
  107.5985 W data1        4002200c st=01
  107.7229 W command      02200000 st=01
  107.8406 R data0        00000021 st=01
  107.9698 W data1        4002200c st=01
  108.0942 W command      02200000 st=01
  108.2120 R data0        00000021 st=01
  108.3412 W data1        4002200c st=01
  108.4656 W command      02200000 st=01
  108.5834 R data0        00000021 st=01
  108.7126 W data1        4002200c st=00
  108.8370 W command      02200000 st=01
  108.9547 R data0        00000020 st=01
  109.0838 W data1        40022010 st=00
  109.2085 W command      02200000 st=00
  109.3263 R data0        00000004 st=00
  109.4553 W data1        40022010 st=00
  109.5799 W data0        00000000 st=01
  109.7043 W command      02210000 st=01
  109.8292 W data1        4002201c st=00
  109.9536 W command      02200000 st=00
  110.0714 R data0        0ffffcfc st=01
  110.2005 W data1        40022020 st=00
  110.3251 W command      02200000 st=00
  110.4429 R data0        ffffffff st=00
  110.5721 W data1        08000400 st=00
  110.6969 W command      02200000 st=00
  110.8146 R data0        ffffffff st=01
  110.9436 W dmcontrol    40000001 st=01
  111.0617 R dmstatus     00000c82 st=01
  111.9267 W data1        40022004 st=01
  112.0511 W data0        45670123 st=01
  112.1757 W command      02210000 st=01
  112.3006 W data1        40022004 st=00
  112.4253 W data0        cdef89ab st=00
  112.5498 W command      02210000 st=01
  112.6747 W data1        40022024 st=00
  112.7992 W data0        45670123 st=01
  112.9237 W command      02210000 st=01
  113.0486 W data1        40022024 st=00
  113.1733 W data0        cdef89ab st=00
  113.2977 W command      02210000 st=00
  113.8287 W dmcontrol    40000001 st=00
  113.9464 R dmstatus     00000c82 st=01
  114.0757 W dmcontrol    40000000 st=01
