project_id,region,origin_expr,origin_bytes,length_expr,length_bytes,constrains_size,source_file,source_line,#,confidence,basis
evt-h417-v3f-iap,FLASH,0x00000000,,24K,24576,1,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-iap,RAM_CODE,0x20100000,537919488,24K,24576,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld,5,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-iap,RAM,(0x20110000+256),537985280,(20K-256),20224,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld,10,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-iap,RAM_LOAD,0x20110000,537985024,256,256,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld,11,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-app,FLASH,0x00006000,24576,64K-24K,40960,1,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-app,RAM_CODE,0x20100000,537919488,64K-24K,40960,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld,5,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-app,RAM,(0x20110000+256),537985280,(448K-256),458496,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld,10,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v3f-app,RAM_LOAD,0x20110000,537985024,256,256,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld,11,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V3F/Link_v3f.ld
evt-h417-v5f-iap,FLASH,0x00010000,65536,128K,131072,0,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-iap,RAM_CODE,0x200A0000,537526272,128K,131072,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld,5,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld
