project_id,file,line,name,value_expr,value_num,category,#,confidence,basis
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,26,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L26)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,27,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L27)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,28,CMD_JUMP_IAP,0x84,132,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L28)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,30,ERR_SUCCESS,0x00,0,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L30)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,31,ERR_ERROR,0x01,1,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L31)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,32,ERR_End,0x02,2,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L32)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,34,CalAddr,(0x08004000-4),134234108,address,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L34)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,35,CheckNum,(0x5aa55aa5),1520786085,address,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L35)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c,27,isp_cmd_t,((isp_cmd  *)EP2_Rx_Buffer),,misc,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c(L27)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,18,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L18)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,19,FLASH_Base,0x08000000,134217728,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L19)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,21,Uart_Sync_Head1,0xaa,170,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L21)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,22,Uart_Sync_Head2,0x55,85,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L22)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,24,CMD_IAP_PROM,0x80,128,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L24)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,25,CMD_IAP_ERASE,0x81,129,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L25)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,26,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L26)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,27,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L27)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,28,CMD_JUMP_IAP,0x84,132,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L28)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,30,ERR_SUCCESS,0x00,0,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L30)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,31,ERR_ERROR,0x01,1,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L31)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,32,ERR_End,0x02,2,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L32)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,34,CalAddr,(0x08004000-4),134234108,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L34)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,35,CheckNum,(0x5aa55aa5),1520786085,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L35)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,32,UPGRADE_MODE_COMMAND,0,0,misc,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c(L32)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,33,UPGRADE_MODE_IO,1,1,misc,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c(L33)
evt-v00x-iap,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,35,UPGRADE_MODE,UPGRADE_MODE_COMMAND,,misc,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c(L35)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.c,26,isp_cmd_t,((isp_cmd  *)EP2_Rx_Buffer),,misc,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.c(L26)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,18,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L18)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,19,FLASH_Base,0x08000000,134217728,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L19)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,21,Uart_Sync_Head1,0xaa,170,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L21)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,22,Uart_Sync_Head2,0x55,85,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L22)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,24,CMD_IAP_PROM,0x80,128,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L24)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,25,CMD_IAP_ERASE,0x81,129,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L25)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,26,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L26)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,27,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L27)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,28,CMD_JUMP_IAP,0x84,132,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L28)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,30,ERR_SUCCESS,0x00,0,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L30)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,31,ERR_ERROR,0x01,1,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L31)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,32,ERR_End,0x02,2,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L32)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,34,CalAddr,(0x08004000-4),134234108,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L34)
evt-v00x-app,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,35,CheckNum,(0x5aa55aa5),1520786085,address,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h(L35)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c,19,FLASH_Base,0x08005000,134238208,address,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c(L19)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c,20,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c(L20)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c,30,isp_cmd_t,((isp_cmd  *)EP2_Rx_Buffer),,misc,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c(L30)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,18,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L18)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,27,Uart_Sync_Head1,0x57,87,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L27)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,28,Uart_Sync_Head2,0xab,171,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L28)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,30,CMD_IAP_PROM,0x80,128,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L30)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,31,CMD_IAP_ERASE,0x81,129,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L31)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,32,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L32)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,33,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L33)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,35,ERR_SCUESS,0x00,0,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L35)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,36,ERR_ERROR,0x01,1,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L36)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,37,ERR_End,0x02,2,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h(L37)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,33,DevEP0SIZE,0x40,64,size,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c(L33)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,34,Version_Num,0x0100,256,misc,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c(L34)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,35,USBD_SIZE_STRING_LANGID,4,4,size,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c(L35)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,36,USBD_SIZE_STRING_SERIAL,26,26,size,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c(L36)
evt-v103-iap,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,37,USB_STRING_DESCRIPTOR_TYPE,0x03,3,usb,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c(L37)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,28,isp_cmd_t,((isp_cmd  *)IAP_Deal_Buf),,misc,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c(L28)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,31,Size_256B,0x100,256,size,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c(L31)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,32,Size_4KB,0x1000,4096,size,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c(L32)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,19,PRINT,0,0,misc,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L19)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,21,DEF_VERSION,0x0101,257,misc,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L21)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,23,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L23)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,24,FLASH_Base,0x08005000,134238208,address,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L24)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,26,Uart_Sync_Head1,0xaa,170,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L26)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,27,Uart_Sync_Head2,0x55,85,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L27)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,29,CMD_IAP_PROM,0x80,128,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L29)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,30,CMD_IAP_ERASE,0x81,129,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L30)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,31,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L31)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,32,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L32)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,33,CMD_JUMP_IAP,0x84,132,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L33)
evt-v205-iap,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,35,ERR_SUCCESS,0x00,0,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L35)
