series,core,variant_label,parts,active,origin_expr,origin_bytes,region,length_expr,length_bytes,source_file,source_line,#,confidence,basis
CH32V30x,,"CH32V30x_D8C - CH32V307VC-CH32V307WC-CH32V307RC-CH32V305CC CH32V30x_D8 - CH32V303VC-CH32V303RC FLASH + RAM supports the following configuration For specific choices, please refer :CH32FV2x_V3xRM.PDF\Table 32-3 FLASH-192K + RAM-128K FLASH-224K + RAM-96K FLASH-256K + RAM-64K FLASH-288K + RAM-32K FLASH-128K + RAM-192K","CH32V30x_D8C - CH32V307VC-CH32V307WC-CH32V307RC-CH32V305CC CH32V30x_D8 - CH32V303VC-CH32V303RC FLASH + RAM supports the following configuration For specific choices, please refer :CH32FV2x_V3xRM.PDF\Table 32-3 FLASH-192K + RAM-128K FLASH-224K + RAM-96K FLASH-256K + RAM-64K FLASH-288K + RAM-32K FLASH-128K + RAM-192K",1,0x20000000,536870912,RAM,32K,32768,CH32V307/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V307/EVT/EXAM/SRC/Ld/Link.ld
CH32V407,,"FLASH + RAM supports the following configuration For specific choices, please refer :CH32V407RM.PDF\Table 32-4 FLASH-576K + RAM-136K FLASH-512K + RAM-200K","FLASH + RAM supports the following configuration For specific choices, please refer :CH32V407RM.PDF\Table 32-4 FLASH-576K + RAM-136K FLASH-512K + RAM-200K",1,0x00000000,,FLASH,576K,589824,CH32V407/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V407/EVT/EXAM/SRC/Ld/Link.ld
CH32V407,,"FLASH + RAM supports the following configuration For specific choices, please refer :CH32V407RM.PDF\Table 32-4 FLASH-576K + RAM-136K FLASH-512K + RAM-200K","FLASH + RAM supports the following configuration For specific choices, please refer :CH32V407RM.PDF\Table 32-4 FLASH-576K + RAM-136K FLASH-512K + RAM-200K",1,0x20000000+1024,536871936,RAM,136K-1K,138240,CH32V407/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V407/EVT/EXAM/SRC/Ld/Link.ld
CH32X035,,,,1,0x00000000,,FLASH,62K,63488,CH32X035/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32X035/EVT/EXAM/SRC/Ld/Link.ld
CH32X035,,,,1,0x20000000,536870912,RAM,20K,20480,CH32X035/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32X035/EVT/EXAM/SRC/Ld/Link.ld
CH32X315,,,,1,0x00000000,,FLASH,192K,196608,CH32X315/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32X315/EVT/EXAM/SRC/Ld/Link.ld
CH32X315,,,,1,0x20000000,536870912,RAM,64K,65536,CH32X315/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32X315/EVT/EXAM/SRC/Ld/Link.ld
CH32L103,,,,1,0x00000000,,FLASH,64K,65536,CH32L103/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32L103/EVT/EXAM/SRC/Ld/Link.ld
CH32L103,,,,1,0x20000000,536870912,RAM,20K,20480,CH32L103/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32L103/EVT/EXAM/SRC/Ld/Link.ld
CH32M030,,,,1,0x00000000,,FLASH,64K,65536,CH32M030/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32M030/EVT/EXAM/SRC/Ld/Link.ld
CH32M030,,,,1,0x20000000,536870912,RAM,12K,12288,CH32M030/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32M030/EVT/EXAM/SRC/Ld/Link.ld
CH32H417,V3F,,,1,0x00000000,,FLASH,64K,65536,CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld
CH32H417,V3F,,,1,0x20100000,537919488,RAM_CODE,64K,65536,CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld
CH32H417,V3F,,,1,(0x20110000+256),537985280,RAM,(448K-256),458496,CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld
CH32H417,V3F,,,1,0x20110000,537985024,RAM_LOAD,256,256,CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V3F/Link_v3f.ld
CH32H417,V5F,,,1,0x00010000,65536,FLASH,128K,131072,CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld
CH32H417,V5F,,,1,0x200A0000,537526272,RAM_CODE,128K,131072,CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld
CH32H417,V5F,,,1,(0x200C0000+512+256),537658112,RAM,(256K-512-256),261376,CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld
CH32H417,V5F,,,1,(0x200C0000+512),537657856,RAM_LOAD,256,256,CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/SRC/Ld/V5F/Link_v5f.ld
