project_id,repo,path,bytes,lines,sha256,role,#,confidence,basis
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.c,6019,198,9b36a3534482e2dfd41db21e1ba980239981af1859d6b71f59ca0c98d7329d7c,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.c
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,1543,62,b77c56f97ba320393bb2dd26a2722c70080fdb445fb75842da86f4fabbc1a2a0,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/main.c,4159,135,120ff867ccf01b9c175d8af38c0330b02c423244b4495eb9ecd939a211d5c7a3,entry,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/main.c
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/system_ch32v00x.c,13373,454,c3ebdd8e2ff5793c8f2d4a81f26201dc4ad680395d2cd4526a989fcf232f0521,startup,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/system_ch32v00x.c
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/system_ch32v00x.h,1053,33,dce30e6b3b2b4bf17c3f3493a4642ba699de0e6798e17727c8de9de61d59b249,startup,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/system_ch32v00x.h
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld,3741,160,501d6335f2da18d185743227e4d9fd14668f60f9d4a582b1badb0190db87d149,linker,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Startup/startup_ch32v00X_iap.S,2002,81,bf13c5eceb7eb1c74812c14c3f7144d5762660095aa0ef5088ff7a87c82e64b7,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Startup/startup_ch32v00X_iap.S
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_conf.h,1221,41,c7876482c9c47ac8b0d59772584177253b86fd6e081e0eb9c4300d595ea8e9ad,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_conf.h
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_it.c,1341,47,9b5770a9d79c90cf0fb7b899667983fe516690d2a17ed392ba4148154c549c58,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_it.c
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_it.h,762,21,b399db784fe4ab53e9812ceecd01c5b7c1e9850afb32287d91260e316f99acde,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/ch32v00X_it.h
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.c,975,30,cc65bf56869297da3f9ea760397b8d4a982912ab05c660461efffee20423e276,flash,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.c
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.h,743,21,f824f3f5bf649ca0da4ffc81b761e36cf45032d53cd0d076f8b69284ca897e13,flash,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.h
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c,9115,325,82395ce75fb107615e7807f5ede40fce5221bc3df302f7e357beedba03346fbc,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,1558,62,99b92727c8c4db863224c87bc4609e4105c4239805950c4eaddc2334237f2ca9,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h
