project_id,series,transport,sync1,sync2,header_layout,cmd_name,cmd_byte,direction,source_file,source_line,#,confidence,basis
evt-v205-iap,CH32V205,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,37,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h(L37)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,25,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L25)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,26,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L26)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,27,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L27)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,28,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L28)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,29,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L29)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,31,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L31)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,32,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L32)
evt-v20x-iap,CH32V20x,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h,33,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.h(L33)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,27,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L27)
